make,model,yearFrom,yearTo,body,drive,cylinders,displacement,hp,trans,gears,seats,clearanceMm,reliability,mpg,priceUsd,looks,tags
Mazda,MX-5 Miata,2016,2024,convertible,rwd,4,2,181,manual,6,2,135,4,29,24000,5,"sporty,fun,light"
Mazda,CX-5,2017,2024,suv,awd,4,2.5,187,auto,6,5,200,4,26,22000,4,"stylish,family"
Mazda,CX-9,2016,2023,suv,awd,4,2.5,250,auto,6,7,220,4,23,24000,4,"3row,turbo,stylish"
Subaru,Outback,2015,2019,wagon,awd,4,2.5,175,cvt,1,5,220,4,28,16000,3,"offroad,wagon,awd"
Subaru,Outback 3.6R,2015,2019,wagon,awd,6,3.6,256,auto,6,5,220,4,22,18000,3,"offroad,wagon,six"
Subaru,Forester,2019,2024,suv,awd,4,2.5,182,cvt,1,5,220,4,29,22000,2,"offroad,practical"
Subaru,WRX,2015,2021,sedan,awd,4,2,268,manual,6,5,145,3,23,22000,5,"sporty,turbo,rally"
Subaru,WRX STI,2015,2021,sedan,awd,4,2.5,310,manual,6,5,145,3,19,32000,5,"sporty,fast,rally"
Subaru,Legacy,2015,2019,sedan,awd,4,2.5,175,cvt,1,5,145,4,29,13000,2,"awd,commuter"
Subaru,Crosstrek,2018,2023,suv,awd,4,2,152,cvt,1,5,220,4,29,20000,3,"offroad,small"
Nissan,370Z,2009,2020,coupe,rwd,6,3.7,332,manual,6,2,125,4,21,25000,5,"sporty,jdm,rwd"
Nissan,Altima,2019,2024,sedan,fwd,4,2.5,188,cvt,1,5,140,3,32,17000,2,commuter
Nissan,Frontier,2005,2021,pickup,4x4,6,4,261,auto,5,5,230,4,18,18000,3,"truck,offroad,tough"
Nissan,Leaf,2018,2023,hatch,fwd,0,0,147,single,1,5,155,4,111,14000,2,"ev,frugal"
Nissan,GT-R,2009,2022,coupe,awd,6,3.8,565,dct,6,4,110,3,19,80000,5,"sporty,fast,jdm"
Lexus,IS 350,2014,2020,sedan,rwd,6,3.5,311,auto,8,5,135,5,23,26000,4,"sporty,quiet,six"
Lexus,RX 350,2016,2022,suv,awd,6,3.5,295,auto,8,5,200,5,22,30000,3,"comfort,quiet"
Lexus,GX 460,2010,2023,suv,4x4,8,4.6,301,auto,6,7,220,5,17,35000,3,"offroad,v8,tough,3row"
Lexus,LS 460,2007,2017,sedan,rwd,8,4.6,380,auto,8,5,140,5,20,18000,3,"v8,luxury,quiet"
Lexus,LC 500,2018,2025,coupe,rwd,8,5,471,auto,10,4,120,5,20,65000,5,"v8,luxury,sporty"
Infiniti,G37,2008,2013,coupe,rwd,6,3.7,330,manual,6,4,130,4,21,14000,5,"sporty,rwd,six"
Infiniti,Q50,2016,2023,sedan,rwd,6,3,300,auto,7,5,135,3,23,20000,4,"turbo,quick"
Mitsubishi,Lancer Evo X,2008,2015,sedan,awd,4,2,291,manual,5,5,140,3,20,35000,5,"sporty,rally,fast"
Suzuki,Jimny,2019,2025,suv,4x4,4,1.5,101,manual,5,4,210,4,30,22000,4,"offroad,tiny,tough"
Ford,Mustang GT,2015,2023,coupe,rwd,8,5,460,manual,6,4,125,3,19,32000,5,"v8,sporty,fast,loud"
Ford,Mustang EcoBoost,2015,2023,coupe,rwd,4,2.3,310,auto,10,4,125,3,25,22000,4,"turbo,sporty"
Ford,F-150,2015,2020,pickup,4x4,6,3.5,375,auto,10,6,230,3,20,28000,3,"truck,tow,turbo"
Ford,F-150 5.0,2015,2020,pickup,4x4,8,5,395,auto,10,6,230,4,18,30000,3,"truck,v8,tow"
Ford,Bronco,2021,2025,suv,4x4,6,2.7,330,auto,10,5,290,3,19,42000,5,"offroad,tough,boxy"
Ford,Focus ST,2013,2018,hatch,fwd,4,2,252,manual,6,5,135,3,26,14000,4,"sporty,turbo,fun"
Ford,Fusion,2013,2020,sedan,fwd,4,2,240,auto,6,5,140,3,26,12000,3,"turbo,commuter"
Ford,Explorer,2016,2019,suv,awd,6,3.5,365,auto,6,7,200,3,20,20000,3,"3row,family,turbo"
Ford,Crown Victoria,1998,2011,sedan,rwd,8,4.6,239,auto,4,6,145,4,18,8000,2,"v8,cheap-parts,tough"
Chevrolet,Corvette C7,2014,2019,coupe,rwd,8,6.2,460,manual,7,2,115,3,19,45000,5,"v8,fast,sporty"
Chevrolet,Camaro SS,2016,2023,coupe,rwd,8,6.2,455,manual,6,4,120,3,20,33000,5,"v8,fast,loud"
Chevrolet,Silverado 1500,2014,2018,pickup,4x4,8,5.3,355,auto,6,6,230,3,18,25000,3,"truck,v8,tow"
Chevrolet,Tahoe,2015,2020,suv,4x4,8,5.3,355,auto,6,8,230,3,18,32000,3,"v8,3row,tow,big"
Chevrolet,Bolt EV,2017,2023,hatch,fwd,0,0,200,single,1,5,150,3,118,16000,2,"ev,frugal,cheap"
Chevrolet,Impala,2014,2020,sedan,fwd,6,3.6,305,auto,6,5,145,3,22,13000,2,"comfort,big"
Dodge,Charger R/T,2015,2023,sedan,rwd,8,5.7,370,auto,8,5,140,3,19,26000,5,"v8,loud,muscle"
Dodge,Challenger R/T,2015,2023,coupe,rwd,8,5.7,375,manual,6,4,130,3,19,28000,5,"v8,muscle,retro"
Dodge,Durango,2014,2023,suv,awd,8,5.7,360,auto,8,7,215,3,17,28000,4,"v8,3row,tow"
Jeep,Wrangler,2018,2025,suv,4x4,6,3.6,285,manual,6,5,275,3,19,33000,5,"offroad,boxy,tough"
Jeep,Grand Cherokee,2014,2021,suv,4x4,8,5.7,360,auto,8,5,215,3,17,22000,4,"v8,offroad,tow"
Jeep,Cherokee Trailhawk,2014,2022,suv,4x4,6,3.2,271,auto,9,5,220,3,21,17000,3,"offroad,midsize"
Ram,1500,2019,2024,pickup,4x4,8,5.7,395,auto,8,6,230,3,18,32000,4,"truck,v8,tow,comfort"
GMC,Sierra 2500HD,2011,2019,pickup,4x4,8,6.6,397,auto,6,6,240,3,15,38000,3,"truck,diesel,tow,heavy"
Cadillac,CTS-V,2009,2014,sedan,rwd,8,6.2,556,manual,6,5,135,2,15,38000,5,"v8,fast,supercharged"
Cadillac,Escalade,2015,2020,suv,4x4,8,6.2,420,auto,10,7,205,3,17,40000,4,"v8,luxury,big,3row"
Tesla,Model 3,2018,2024,sedan,rwd,0,0,283,single,1,5,140,3,132,25000,3,"ev,quick,tech"
Tesla,Model Y,2020,2024,suv,awd,0,0,384,single,1,5,165,3,122,32000,3,"ev,quick,practical"
Tesla,Model S,2016,2021,sedan,awd,0,0,417,single,1,5,140,2,102,28000,4,"ev,fast,tech"
BMW,330i,2019,2024,sedan,rwd,4,2,255,auto,8,5,135,3,30,28000,4,"turbo,sporty,premium"
BMW,328i E90,2007,2012,sedan,rwd,6,3,230,manual,6,5,140,3,22,9000,3,"six,rwd,classic"
BMW,M3 E46,2001,2006,coupe,rwd,6,3.2,333,manual,6,4,130,2,17,45000,5,"six,sporty,classic"
BMW,M3 F80,2015,2018,sedan,rwd,6,3,425,dct,7,5,130,2,20,45000,5,"fast,sporty,turbo"
BMW,M5 E39,1999,2003,sedan,rwd,8,4.9,394,manual,6,5,140,2,15,45000,4,"v8,classic,sporty"
BMW,X5,2014,2018,suv,awd,6,3,300,auto,8,5,215,2,21,20000,3,"premium,tow,turbo"
BMW,540i,2017,2023,sedan,rwd,6,3,335,auto,8,5,140,3,26,32000,4,"six,premium,quick"
BMW,M2,2016,2021,coupe,rwd,6,3,405,dct,7,4,125,3,20,45000,5,"sporty,fast,small"
Mercedes-Benz,C300,2015,2021,sedan,rwd,4,2,255,auto,9,5,140,3,27,22000,4,"premium,quiet,turbo"
Mercedes-Benz,E350,2010,2016,sedan,rwd,6,3.5,302,auto,7,5,140,3,23,14000,3,"premium,comfort,six"
Mercedes-Benz,E63 AMG,2014,2020,sedan,awd,8,4,577,auto,9,5,135,2,19,55000,5,"v8,fast,loud"
Mercedes-Benz,G550,2013,2018,suv,4x4,8,4,416,auto,7,5,240,3,15,85000,5,"v8,offroad,boxy,luxury"
Mercedes-Benz,Sprinter,2014,2022,van,rwd,4,2.1,161,auto,7,3,180,3,22,32000,1,"van,diesel,cargo,tall"
Audi,A4,2017,2023,sedan,awd,4,2,248,auto,7,5,140,3,29,24000,4,"quattro,premium,turbo"
Audi,S4,2018,2023,sedan,awd,6,3,349,auto,8,5,135,3,24,35000,4,"quattro,fast,sleeper"
Audi,A6 Avant,2012,2018,wagon,awd,6,3,333,auto,8,5,145,2,24,20000,4,"wagon,quattro,supercharged"
Audi,RS6 Avant,2020,2024,wagon,awd,8,4,591,auto,8,5,140,2,17,95000,5,"v8,wagon,fast,quattro"
Audi,Q5,2018,2024,suv,awd,4,2,248,dct,7,5,205,3,25,27000,3,"quattro,premium"
Audi,TT,2016,2023,coupe,awd,4,2,228,dct,6,4,125,3,27,28000,5,"small,sporty,quattro"
Volkswagen,Golf GTI,2015,2021,hatch,fwd,4,2,228,manual,6,5,135,3,28,22000,4,"sporty,fun,turbo"
Volkswagen,Golf R,2015,2019,hatch,awd,4,2,292,dct,6,5,135,3,26,28000,4,"fast,awd,sleeper"
Volkswagen,Jetta,2015,2021,sedan,fwd,4,1.4,150,auto,8,5,140,3,34,14000,2,"commuter,frugal,turbo"
Volkswagen,Golf Alltrack,2017,2019,wagon,awd,4,1.8,170,manual,6,5,175,3,27,18000,3,"wagon,awd,practical"
Porsche,911 997,2005,2012,coupe,rwd,6,3.6,325,manual,6,4,110,3,20,55000,5,"six,sporty,icon"
Porsche,Cayman S,2014,2016,coupe,rwd,6,3.4,325,manual,6,2,115,3,23,48000,5,"sporty,balanced,mid"
Porsche,Macan S,2015,2021,suv,awd,6,3,340,dct,7,5,200,3,20,35000,4,"sporty,premium,quick"
Porsche,Cayenne,2011,2018,suv,awd,6,3.6,300,auto,8,5,215,2,20,22000,4,"premium,tow"
Hyundai,Elantra,2017,2023,sedan,fwd,4,2,147,auto,6,5,140,4,35,14000,3,"commuter,cheap,frugal"
Hyundai,Sonata,2015,2019,sedan,fwd,4,2.4,185,auto,6,5,140,4,29,12000,2,"commuter,comfort"
Hyundai,Veloster N,2019,2022,hatch,fwd,4,2,275,manual,6,4,135,4,25,26000,5,"sporty,fun,loud"
Hyundai,Palisade,2020,2024,suv,awd,6,3.8,291,auto,8,8,205,4,22,32000,3,"3row,family,comfort"
Hyundai,Ioniq 5,2022,2025,hatch,awd,0,0,320,single,1,5,160,4,98,32000,4,"ev,quick,retro"
Kia,Telluride,2020,2024,suv,awd,6,3.8,291,auto,8,8,205,4,22,34000,4,"3row,family,boxy"
Kia,Stinger GT,2018,2023,sedan,awd,6,3.3,365,auto,8,5,135,4,22,30000,5,"fast,hatchback,turbo"
Kia,Soul,2014,2021,hatch,fwd,4,2,161,auto,6,5,165,4,28,11000,2,"boxy,cheap,practical"
Kia,Sportage,2017,2022,suv,awd,4,2.4,181,auto,6,5,170,4,24,17000,3,"practical,family"
Genesis,G70,2019,2024,sedan,awd,6,3.3,365,auto,8,5,135,4,21,30000,5,"fast,premium,sporty"
Volvo,V60,2019,2024,wagon,awd,4,2,316,auto,8,5,150,3,30,32000,4,"wagon,safe,hybrid"
Volvo,V70,2008,2016,wagon,fwd,5,2.5,227,auto,6,5,150,3,23,9000,2,"wagon,safe,five"
Volvo,XC90,2016,2022,suv,awd,4,2,316,auto,8,7,238,3,25,30000,3,"3row,safe,premium"
Volvo,240,1980,1993,wagon,rwd,4,2.3,114,manual,4,5,160,4,22,9000,2,"wagon,classic,boxy,tough"
Skoda,Octavia Combi,2015,2020,wagon,fwd,4,1.8,180,dct,7,5,150,3,32,14000,3,"wagon,practical,frugal"
Peugeot,208,2019,2024,hatch,fwd,3,1.2,129,auto,8,5,140,3,40,15000,3,"small,frugal,stylish"
Renault,Megane RS,2018,2023,hatch,fwd,4,1.8,276,dct,6,5,130,3,27,25000,5,"sporty,fun,track"
Fiat,500,2012,2019,hatch,fwd,4,1.4,101,manual,5,4,130,2,33,7000,3,"tiny,retro,cheap"
Alfa Romeo,Giulia Quadrifoglio,2017,2024,sedan,rwd,6,2.9,505,auto,8,5,135,2,20,45000,5,"fast,sporty,loud"
Land Rover,Defender 90,2020,2025,suv,4x4,6,3,395,auto,8,5,291,2,19,55000,5,"offroad,boxy,tough"
Land Rover,Discovery 4,2010,2016,suv,4x4,8,5,375,auto,6,7,240,1,15,18000,3,"v8,offroad,3row"
Mini,Cooper S,2014,2023,hatch,fwd,4,2,189,manual,6,4,135,3,30,17000,4,"small,fun,retro"
Toyota,Land Cruiser 80,1990,1997,suv,4x4,6,4.5,212,manual,5,7,220,5,13,25000,4,"offroad,tough,legend"
Toyota,Land Cruiser 200,2008,2021,suv,4x4,8,5.7,381,auto,6,8,225,5,15,45000,3,"v8,offroad,tough,3row"
Toyota,4Runner,2010,2024,suv,4x4,6,4,270,auto,5,5,240,5,18,28000,4,"offroad,tough,boxy"
Toyota,Tacoma,2016,2023,pickup,4x4,6,3.5,278,manual,6,5,240,5,20,30000,4,"truck,offroad,tough"
Toyota,Hilux,2015,2023,pickup,4x4,4,2.8,201,manual,6,5,280,5,26,28000,4,"truck,diesel,offroad,tough"
Toyota,Sienna,2011,2020,van,awd,6,3.5,296,auto,8,8,155,5,21,20000,1,"van,family,practical"
Toyota,Sequoia,2008,2022,suv,4x4,8,5.7,381,auto,6,8,250,5,15,30000,3,"v8,3row,tow,tough"
Honda,Odyssey,2018,2024,van,fwd,6,3.5,280,auto,10,8,120,4,22,26000,1,"van,family,practical"
Honda,Element,2003,2011,suv,awd,4,2.4,166,manual,5,4,180,5,22,12000,3,"boxy,practical,cult"
Mazda,RX-8,2004,2011,coupe,rwd,2,1.3,232,manual,6,4,130,1,18,12000,5,"rotary,jdm,sporty"
Nissan,240SX,1989,1998,coupe,rwd,4,2.4,155,manual,5,4,140,3,23,18000,4,"jdm,drift,classic"
Mercedes-Benz,W124 300E,1986,1995,sedan,rwd,6,3,177,auto,4,5,150,4,20,12000,2,"classic,tough,six"
BMW,E30 325i,1987,1991,coupe,rwd,6,2.5,168,manual,5,4,140,3,22,20000,4,"classic,six,fun"
Volkswagen,Bus T3,1980,1992,van,rwd,4,1.9,78,manual,4,7,190,2,20,22000,3,"van,classic,slow,cult"
Saab,9-5 Aero,2002,2009,wagon,fwd,4,2.3,250,manual,5,5,150,2,23,7000,3,"wagon,turbo,quirky"
Lada,Niva,1980,2020,suv,4x4,4,1.7,83,manual,5,4,220,2,20,6000,3,"offroad,tiny,cheap,tough"
Jeep,Cherokee XJ,1984,2001,suv,4x4,6,4,190,auto,4,5,210,4,17,9000,4,"offroad,boxy,tough,cheap"
Ford,Ranger,2019,2023,pickup,4x4,4,2.3,270,auto,10,5,230,3,21,28000,3,"truck,turbo,offroad"
Chevrolet,Suburban,2007,2014,suv,4x4,8,5.3,320,auto,6,9,230,3,16,18000,2,"v8,big,3row,tow"
Pontiac,Vibe,2003,2010,wagon,fwd,4,1.8,130,manual,5,5,155,5,29,6000,2,"cheap,practical,toyota-under"
Buick,Roadmaster Estate,1991,1996,wagon,rwd,8,5.7,260,auto,4,8,150,3,18,14000,2,"v8,wagon,big,classic"
Audi,allroad C5,2000,2005,wagon,awd,6,2.7,250,manual,6,5,208,1,18,8000,4,"wagon,offroad,turbo,quirky"
Volvo,850 R,1995,1997,wagon,fwd,5,2.3,240,auto,4,5,150,3,22,16000,4,"wagon,turbo,five,cult"
Mercedes-Benz,ML350,2006,2011,suv,awd,6,3.5,268,auto,7,5,205,2,18,8000,2,"premium,offroad,cheap"
Honda,Ridgeline,2017,2024,pickup,awd,6,3.5,280,auto,9,5,195,4,21,28000,2,"truck,comfort,practical"
Ford,Transit Connect,2014,2022,van,fwd,4,2.5,169,auto,6,5,150,3,23,15000,1,"van,cargo,practical"
Subaru,BRZ,2022,2025,coupe,rwd,4,2.4,228,manual,6,4,130,4,25,28000,5,"sporty,fun,light"
Subaru,Baja,2003,2006,pickup,awd,4,2.5,165,manual,5,4,190,3,22,11000,3,"weird,cult,practical"
Hyundai,Kona N,2022,2024,suv,fwd,4,2,276,dct,8,5,170,4,23,30000,5,"sporty,loud,small"
Kia,EV6 GT-Line,2022,2025,hatch,awd,0,0,320,single,1,5,160,4,101,36000,5,"ev,quick,sharp"
Polestar,2,2021,2024,hatch,awd,0,0,408,single,1,5,150,3,98,30000,4,"ev,fast,minimal"
Mazda,CX-50,2023,2025,suv,awd,4,2.5,256,auto,6,5,215,4,25,32000,4,"offroad,turbo,stylish"
Toyota,RAV4,2019,2024,suv,awd,4,2.5,203,auto,8,5,215,5,30,26000,3,"practical,family,tough"
Toyota,Corolla Cross,2022,2025,suv,awd,4,2,169,cvt,1,5,205,5,32,25000,2,"practical,frugal,small"
Honda,HR-V,2016,2022,suv,awd,4,1.8,141,cvt,1,5,190,4,29,17000,2,"small,practical,frugal"
BMW,X3 M40i,2018,2024,suv,awd,6,3,382,auto,8,5,204,3,23,38000,4,"fast,six,premium"
Mercedes-Benz,GLE 450,2020,2024,suv,awd,6,3,362,auto,9,5,205,3,23,45000,3,"six,premium,comfort"
Volkswagen,Touareg V8 TDI,2013,2016,suv,4x4,8,4.2,340,auto,8,5,215,2,21,22000,3,"v8,diesel,tow,offroad"
Ford,Expedition,2018,2024,suv,4x4,6,3.5,375,auto,10,8,230,3,20,35000,3,"3row,tow,big,turbo"
Chrysler,Pacifica,2017,2024,van,awd,6,3.6,287,auto,9,7,130,3,22,24000,2,"van,family,practical"
Lexus,IS 300 AWD,2016,2020,sedan,awd,6,3.5,260,auto,6,5,135,5,22,24000,4,"awd,quiet,six"
Acura,TL SH-AWD,2009,2014,sedan,awd,6,3.7,305,manual,6,5,140,4,20,12000,3,"awd,six,sleeper"
Acura,MDX,2014,2020,suv,awd,6,3.5,290,auto,9,7,200,4,23,22000,3,"3row,family,premium"
Acura,NSX,1991,2005,coupe,rwd,6,3.2,290,manual,6,2,115,4,20,90000,5,"jdm,icon,mid,sporty"
Mitsubishi,Pajero,1999,2015,suv,4x4,6,3.2,197,auto,5,7,235,3,20,12000,3,"offroad,diesel,tough,3row"
Isuzu,D-Max,2017,2024,pickup,4x4,4,3,187,auto,6,5,235,4,25,26000,3,"truck,diesel,tough"
Dacia,Duster,2018,2024,suv,4x4,4,1.5,113,manual,6,5,210,3,40,15000,3,"offroad,cheap,diesel,frugal"
Citroen,Berlingo,2019,2024,van,fwd,4,1.5,129,auto,8,5,165,3,42,18000,1,"van,practical,frugal,diesel"
Opel,Insignia Sports Tourer,2017,2022,wagon,awd,4,2,256,auto,8,5,150,3,26,16000,3,"wagon,turbo,practical"
BMW,330d Touring,2012,2018,wagon,rwd,6,3,258,auto,8,5,140,3,36,15000,4,"wagon,diesel,six,quick"
Mercedes-Benz,C220d Estate,2015,2021,wagon,rwd,4,2.1,170,auto,9,5,145,3,44,17000,3,"wagon,diesel,frugal,quiet"
Skoda,Superb Combi,2016,2023,wagon,awd,4,2,187,dct,7,5,150,3,34,18000,3,"wagon,huge,practical,diesel"
Honda,Civic Shuttle,1987,1991,wagon,4x4,4,1.6,108,manual,6,5,175,4,30,9000,2,"wagon,quirky,cult,tiny"
Toyota,Aygo,2014,2021,hatch,fwd,3,1,71,manual,5,4,140,5,47,8000,2,"tiny,frugal,cheap,city"
Volkswagen,Up,2012,2023,hatch,fwd,3,1,74,manual,5,4,140,4,45,8000,2,"tiny,frugal,city"
Hyundai,i10,2014,2019,hatch,fwd,4,1.2,86,manual,5,5,150,4,44,8000,2,"tiny,cheap,frugal,city"
Kia,Picanto,2017,2023,hatch,fwd,4,1.25,83,manual,5,5,150,4,43,9000,2,"tiny,cheap,city"
Suzuki,Swift,2017,2023,hatch,fwd,4,1.2,89,manual,5,5,145,4,45,10000,3,"small,frugal,light,city"
Fiat,Panda,2012,2023,hatch,fwd,4,1.2,68,manual,5,5,160,3,40,7000,2,"tiny,cheap,city"
Citroen,C3,2017,2023,hatch,fwd,3,1.2,108,manual,6,5,150,3,42,11000,3,"small,frugal,city"
Opel,Corsa,2019,2024,hatch,fwd,3,1.2,99,manual,6,5,145,3,44,13000,3,"small,frugal,city"
Skoda,Fabia,2015,2021,hatch,fwd,3,1,94,manual,5,5,145,4,43,10000,2,"small,practical,frugal,city"
Seat,Ibiza,2017,2023,hatch,fwd,3,1,94,manual,5,5,145,3,42,11000,3,"small,frugal,city"
Volkswagen,Polo,2018,2024,hatch,fwd,3,1,94,manual,5,5,145,4,42,13000,3,"small,frugal,city"
Renault,Clio,2013,2019,hatch,fwd,3,0.9,89,manual,5,5,140,3,45,8000,3,"small,frugal,city"
Mazda,2,2015,2021,hatch,fwd,4,1.5,106,manual,6,5,145,4,40,10000,3,"small,frugal,fun,city"
Ford,Fiesta,2014,2019,hatch,fwd,4,1.6,120,manual,5,5,140,3,31,8000,3,"small,fun,cheap,city"
Toyota,Yaris Hybrid,2015,2020,hatch,fwd,4,1.5,100,cvt,1,5,140,5,55,12000,2,"hybrid,frugal,city"
Toyota,GR Yaris,2020,2024,hatch,awd,3,1.6,268,manual,6,4,140,4,26,38000,5,"sporty,rally,fast,track"
Ford,Fiesta ST,2014,2019,hatch,fwd,4,1.6,197,manual,6,5,135,3,29,14000,4,"sporty,fun,turbo,light"
Mini,John Cooper Works,2015,2023,hatch,fwd,4,2,228,manual,6,4,135,3,29,24000,5,"sporty,fun,fast,small"
Mini,Cooper,2014,2023,hatch,fwd,3,1.5,134,manual,6,4,135,3,33,15000,4,"small,fun,retro"
Hyundai,i30 N,2018,2023,hatch,fwd,4,2,275,manual,6,5,140,4,25,27000,5,"sporty,fun,track,loud"
Volkswagen,Golf GTI Mk8,2022,2024,hatch,fwd,4,2,241,dct,7,5,135,3,28,28000,4,"sporty,turbo,fun"
Honda,Civic Type R FL5,2023,2025,hatch,fwd,4,2,315,manual,6,4,125,4,24,45000,5,"sporty,fast,track"
Peugeot,308,2014,2021,hatch,fwd,3,1.2,129,manual,6,5,150,3,42,12000,3,"frugal,practical,small"
Volkswagen,Golf,2015,2020,hatch,fwd,4,1.4,148,auto,6,5,135,3,33,15000,3,"practical,turbo,solid"
Volkswagen,Golf TDI,2015,2019,hatch,fwd,4,2,150,dct,6,5,140,3,43,14000,3,"diesel,frugal,practical"
Toyota,Corolla Hatchback,2019,2024,hatch,fwd,4,2,169,cvt,1,5,135,5,35,20000,3,"practical,frugal,solid"
Mazda,3,2010,2013,hatch,fwd,4,2,155,manual,6,5,145,4,29,7000,3,"cheap,fun,practical"
Ford,Focus,2012,2018,hatch,fwd,4,2,160,auto,6,5,140,2,30,7000,3,"cheap,practical"
Toyota,Camry Hybrid,2018,2024,sedan,fwd,4,2.5,208,cvt,1,5,145,5,52,24000,3,"hybrid,frugal,comfort"
Toyota,Corolla,2020,2024,sedan,fwd,4,2,169,cvt,1,5,135,5,35,20000,3,"commuter,frugal,solid"
Honda,Accord Hybrid,2018,2022,sedan,fwd,4,2,212,cvt,1,5,140,5,47,24000,3,"hybrid,frugal,comfort"
Honda,Civic Si,2022,2025,sedan,fwd,4,1.5,200,manual,6,5,135,4,31,27000,4,"sporty,fun,turbo"
Honda,Insight,2019,2022,sedan,fwd,4,1.5,151,cvt,1,5,130,4,52,19000,3,"hybrid,frugal"
Nissan,Maxima,2016,2023,sedan,fwd,6,3.5,300,cvt,1,5,140,3,25,20000,4,"six,quick,comfort"
Nissan,Sentra,2020,2024,sedan,fwd,4,2,149,cvt,1,5,140,4,33,17000,3,"commuter,cheap"
Nissan,Versa,2012,2019,sedan,fwd,4,1.6,109,cvt,1,5,150,3,35,6000,1,"cheap,frugal,commuter"
Mazda,6,2014,2017,sedan,fwd,4,2.5,184,auto,6,5,145,4,30,12000,4,"stylish,frugal"
Mazda,3 Turbo,2021,2024,sedan,awd,4,2.5,250,auto,6,5,140,4,27,26000,4,"turbo,awd,stylish,quick"
Subaru,Impreza,2017,2023,sedan,awd,4,2,152,cvt,1,5,220,4,31,16000,2,"awd,commuter,practical"
Volkswagen,Passat,2016,2022,sedan,fwd,4,2,174,auto,6,5,140,3,29,14000,2,"comfort,practical"
Volkswagen,Arteon,2019,2023,sedan,awd,4,2,268,dct,7,5,140,3,25,26000,5,"stylish,turbo,quick"
Volkswagen,Jetta,2011,2014,sedan,fwd,4,2,115,manual,5,5,140,2,28,6000,2,"cheap,commuter"
Skoda,Octavia vRS,2017,2020,sedan,fwd,4,2,227,dct,6,5,145,3,30,18000,4,"sporty,practical,turbo"
BMW,340i,2016,2018,sedan,rwd,6,3,320,auto,8,5,140,3,26,26000,4,"six,quick,turbo"
BMW,M340i,2019,2024,sedan,awd,6,3,382,auto,8,5,135,3,26,40000,4,"fast,six,premium"
BMW,320d,2012,2018,sedan,rwd,4,2,181,auto,8,5,140,3,45,14000,3,"diesel,frugal,comfort"
Mercedes-Benz,C43 AMG,2017,2022,sedan,awd,6,3,385,auto,9,5,135,3,23,35000,4,"fast,premium,six"
Mercedes-Benz,E220d,2016,2023,sedan,rwd,4,2,194,auto,9,5,145,3,47,25000,3,"diesel,frugal,quiet,comfort"
Audi,A3,2015,2020,sedan,fwd,4,2,186,dct,6,5,140,3,30,18000,3,"premium,turbo,small"
Audi,S3,2015,2020,sedan,awd,4,2,292,dct,6,5,135,3,26,26000,4,"fast,quattro,sleeper"
Audi,A6,2019,2024,sedan,awd,6,3,335,auto,7,5,140,3,25,38000,3,"premium,six,comfort"
Lexus,ES 350,2019,2024,sedan,fwd,6,3.5,302,auto,8,5,150,5,26,33000,3,"comfort,quiet,six"
